# ---------------------------------- WARNING ----------------------------------------,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,
# may not have received Director's approval. Any such data values are qualified,,,
# as provisional and are subject to revision. Provisional data are released on the,,,
# condition that neither the USGS nor the United States Government may be held liable,,,
# for any damages resulting from its use.,,,
#,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,
#,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,
#,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,
# retrieved: 2018-09-26 15:59:55 EDT       (sdww02),,,
#,,,
# Data for the following 1 site(s) are contained in this file,,,
"#    USGS 08066500 Trinity Rv at Romayor, TX",,,
# -----------------------------------------------------------------------------------,,,
#,,,
# Data provided for site 08066500,,,
#            TS   parameter     statistic     Description,,,
"#        133980       00060     00003     Discharge, cubic feet per second (Mean)",,,
"#        173616       00060     00001     Discharge, cubic feet per second (Maximum)",,,
"#        173617       00060     00002     Discharge, cubic feet per second (Minimum)",,,
#,,,
# Data-value qualification codes included in this output:,,,
#        ,,,
#     A  Approved for publication -- Processing and review completed.,,,
#     P  Provisional data subject to revision.,,,
#     e  Value has been estimated.,,,
# ,,,
agency_cd,site_no,datetime,133980_00060_00003
5s,15s,20d,14n
USGS,8066500,1/1/1925,515
USGS,8066500,1/2/1925,540
USGS,8066500,1/3/1925,540
USGS,8066500,1/4/1925,515
USGS,8066500,1/5/1925,540
USGS,8066500,1/6/1925,570
USGS,8066500,1/7/1925,570
USGS,8066500,1/8/1925,600
USGS,8066500,1/9/1925,630
USGS,8066500,1/10/1925,690
USGS,8066500,1/11/1925,825
USGS,8066500,1/12/1925,895
USGS,8066500,1/13/1925,930
USGS,8066500,1/14/1925,860
USGS,8066500,1/15/1925,790
USGS,8066500,1/16/1925,1340
USGS,8066500,1/17/1925,2360
USGS,8066500,1/18/1925,4270
USGS,8066500,1/19/1925,5450
USGS,8066500,1/20/1925,4430
USGS,8066500,1/21/1925,2810
USGS,8066500,1/22/1925,1740
USGS,8066500,1/23/1925,1340
USGS,8066500,1/24/1925,1080
USGS,8066500,1/25/1925,965
USGS,8066500,1/26/1925,860
USGS,8066500,1/27/1925,860
USGS,8066500,1/28/1925,790
USGS,8066500,1/29/1925,790
USGS,8066500,1/30/1925,720
USGS,8066500,1/31/1925,720
USGS,8066500,2/1/1925,690
USGS,8066500,2/2/1925,660
USGS,8066500,2/3/1925,660
USGS,8066500,2/4/1925,630
USGS,8066500,2/5/1925,660
USGS,8066500,2/6/1925,660
USGS,8066500,2/7/1925,660
USGS,8066500,2/8/1925,825
USGS,8066500,2/9/1925,825
USGS,8066500,2/10/1925,825
USGS,8066500,2/11/1925,755
USGS,8066500,2/12/1925,660
USGS,8066500,2/13/1925,600
USGS,8066500,2/14/1925,540
USGS,8066500,2/15/1925,540
USGS,8066500,2/16/1925,540
USGS,8066500,2/17/1925,540
USGS,8066500,2/18/1925,515
USGS,8066500,2/19/1925,515
USGS,8066500,2/20/1925,465
USGS,8066500,2/21/1925,465
USGS,8066500,2/22/1925,465
USGS,8066500,2/23/1925,490
USGS,8066500,2/24/1925,490
USGS,8066500,2/25/1925,490
USGS,8066500,2/26/1925,490
USGS,8066500,2/27/1925,490
USGS,8066500,2/28/1925,490
USGS,8066500,3/1/1925,540
USGS,8066500,3/2/1925,630
USGS,8066500,3/3/1925,720
USGS,8066500,3/4/1925,790
USGS,8066500,3/5/1925,755
USGS,8066500,3/6/1925,720
USGS,8066500,3/7/1925,720
USGS,8066500,3/8/1925,630
USGS,8066500,3/9/1925,630
USGS,8066500,3/10/1925,600
USGS,8066500,3/11/1925,540
USGS,8066500,3/12/1925,515
USGS,8066500,3/13/1925,515
USGS,8066500,3/14/1925,600
USGS,8066500,3/15/1925,490
USGS,8066500,3/16/1925,465
USGS,8066500,3/17/1925,465
USGS,8066500,3/18/1925,465
USGS,8066500,3/19/1925,465
USGS,8066500,3/20/1925,465
USGS,8066500,3/21/1925,465
USGS,8066500,3/22/1925,415
USGS,8066500,3/23/1925,415
USGS,8066500,3/24/1925,440
USGS,8066500,3/25/1925,415
USGS,8066500,3/26/1925,415
USGS,8066500,3/27/1925,415
USGS,8066500,3/28/1925,415
USGS,8066500,3/29/1925,415
USGS,8066500,3/30/1925,415
USGS,8066500,3/31/1925,415
USGS,8066500,4/1/1925,415
USGS,8066500,4/2/1925,390
USGS,8066500,4/3/1925,390
USGS,8066500,4/4/1925,390
USGS,8066500,4/5/1925,415
USGS,8066500,4/6/1925,415
USGS,8066500,4/7/1925,415
USGS,8066500,4/8/1925,415
USGS,8066500,4/9/1925,415
USGS,8066500,4/10/1925,415
USGS,8066500,4/11/1925,415
USGS,8066500,4/12/1925,415
USGS,8066500,4/13/1925,415
USGS,8066500,4/14/1925,415
USGS,8066500,4/15/1925,415
USGS,8066500,4/16/1925,415
USGS,8066500,4/17/1925,415
USGS,8066500,4/18/1925,415
USGS,8066500,4/19/1925,440
USGS,8066500,4/20/1925,415
USGS,8066500,4/21/1925,440
USGS,8066500,4/22/1925,440
USGS,8066500,4/23/1925,415
USGS,8066500,4/24/1925,415
USGS,8066500,4/25/1925,415
USGS,8066500,4/26/1925,415
USGS,8066500,4/27/1925,415
USGS,8066500,4/28/1925,415
USGS,8066500,4/29/1925,415
USGS,8066500,4/30/1925,415
USGS,8066500,5/1/1925,415
USGS,8066500,5/2/1925,415
USGS,8066500,5/3/1925,440
USGS,8066500,5/4/1925,720
USGS,8066500,5/5/1925,2060
USGS,8066500,5/6/1925,5810
USGS,8066500,5/7/1925,6710
USGS,8066500,5/8/1925,5810
USGS,8066500,5/9/1925,4670
USGS,8066500,5/10/1925,4030
USGS,8066500,5/11/1925,3510
USGS,8066500,5/12/1925,2950
